Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 18-Jun-2025),Crossref citations (as of 18-Jun-2025)
"Eco-friendly adhesives for wood panels: advances in lignin, tannin, protein, and rubber-based solutions","Aakash Kumar, Pranit B Patil, Dipak V Pinjari",Journal of Adhesion Science and Technology,,,p1 - p42,5187,10.1080/01694243.2025.2514151,09-Jun-2025,https://doi.org/10.1080/01694243.2025.2514151,15.0,0.0
Endogenous effects and cluster transition: a conceptual framework for cluster policy,Milad Abbasiharofteh,European Planning Studies,28,12,p2508 - p2531,2020,10.1080/09654313.2020.1724266,13-Feb-2020,https://doi.org/10.1080/09654313.2020.1724266,5227.0,18.0
Spitting images: remaking saliva as a promissory substance†,"Mette Kragh-Furbo, Richard Tutton",New Genetics and Society,36,2,p159 - p185,2017,10.1080/14636778.2017.1320943,09-May-2017,https://doi.org/10.1080/14636778.2017.1320943,953.0,11.0
What suicide and Greece tell us about precarity and capitalism,Anna M Agathangelou,Globalizations,16,4,p541 - p558,2019,10.1080/14747731.2018.1464686,21-Jun-2018,https://doi.org/10.1080/14747731.2018.1464686,589.0,10.0
Prioritising key variables for assessing food system resilience in Finland,"Kalle Aro, Pasi Rikkonen, Karoliina Rimhanen","Acta Agriculturae Scandinavica, Section B — Soil & Plant Science",73,1,p170 - p183,2023,10.1080/09064710.2023.2256341,15-Sep-2023,https://doi.org/10.1080/09064710.2023.2256341,1395.0,0.0
"Understanding the climate, migration, social protection nexus from a youth mobility dimension: can social protection address the drivers of climigration?","Alexandra Krendelsberger, Theresa Liebig, Peter Läderach, Peter C McKeown, Una Murray, Tomy Ncube, Nam Nguyen, Grazia Pacillo, Charles Spillane, Lalhmangaihzuali Zualii",Climate and Development,,,p1 - p22,5187,10.1080/17565529.2024.2380380,16-Aug-2024,https://doi.org/10.1080/17565529.2024.2380380,2490.0,1.0
Facial Biocosmetics Based on Natural Dyes from Amazon Wood Residues,"Fernando Wallase Carvalho Andrade, Kelly C F Castro, Cássia Valéria Pinheiro Corrêa, Jefferson Maia Feitosa, Sara Freitas de Souza, Victor Hugo Pereira Moutinho, Brenna Couto Nicaretta, Kariane Mendes Nunes, Maria Eduarda Cohen da Silva",Journal of Sustainable Forestry,42,9,p910 - p921,2023,10.1080/10549811.2022.2123821,19-Sep-2022,https://doi.org/10.1080/10549811.2022.2123821,336.0,1.0
Polytraps in European rural mountainous regions: an expert view,"Stanislava Brnkalakova, Irene Christoforidi, Vlad Crisan, Antonia Egli, Andrej Ficko, Pınar Gültekin, Yaşar Selman Gültekin, Juha Hiedanpää, Mikko Jokinen, Theo Lynn, Antonio T Monteiro, Mojca Nastran, Oksana Pelyukh, Simo Sarkki, Ivan Sulc, Matteo Vizzarri, Hakan Yasin Özdemir, Ivana Živojinović",European Planning Studies,,,p1 - p21,5187,10.1080/09654313.2025.2473380,12-Mar-2025,https://doi.org/10.1080/09654313.2025.2473380,715.0,0.0
"Ecosystem Services Provided by Seaweed Cultivation: State of the Art, Knowledge Gaps, Constraints and Future Needs for Achieving Maximum Potential in Europe","Fricke A, Buschmann AH, Capuzzo E, Cottier-Cook EJ, Hernández I, Hofmann LC, Bermejo R, Pereira R, van den Burg SWK, Pereira T",Reviews in Fisheries Science & Aquaculture,33,2,p238 - p256,2025,10.1080/23308249.2024.2399355,13-Sep-2024,https://doi.org/10.1080/23308249.2024.2399355,2986.0,0.0
Blood and Borders: Geographies of Social Reproduction in Ciudad Juárez-El Paso,"Nina Ebner, Kelsey Mae Johnson",Annals of the American Association of Geographers,111,2,p498 - p514,2020,10.1080/24694452.2020.1782169,24-Aug-2020,https://doi.org/10.1080/24694452.2020.1782169,950.0,12.0
Bridging Reproductive and Productive Work: The Case of Surrogates in California,"Ariadna Ayala, Ana María Rivas, Consuelo Álvarez Plaza",Medical Anthropology,43,8,p748 - p769,2024,10.1080/01459740.2024.2364244,12-Jun-2024,https://doi.org/10.1080/01459740.2024.2364244,194.0,1.0
Can digital technology promote sustainable agriculture? Empirical evidence from urban China,"Kai Liu, Liqun Liu",Cogent Food & Agriculture,9,2,,2023,10.1080/23311932.2023.2282234,18-Nov-2023,https://doi.org/10.1080/23311932.2023.2282234,1934.0,11.0
Understanding changes of laser backscattering imaging parameters through the kiwifruit softening process using time series analysis,"Andrew East, Mo Li, Zhuo Yang, Manuela Zude-Sasse",New Zealand Journal of Crop and Horticultural Science,52,3,p240 - p264,2024,10.1080/01140671.2024.2348139,12-May-2024,https://doi.org/10.1080/01140671.2024.2348139,714.0,1.0
Global Participation in and Public Attitudes Toward Recreational Fishing: International Perspectives and Developments,"Øystein Aas, Josep Alós, Ivan Arismendi, Robert Arlinghaus, Shannon Bower, Steven Carle, Tomasz Czarkowski, Kátia M F Freire, John Hu, Len M Hunt, Andrzej Kapusta, Roman Lyach, Daryl McPhee, Warren Potts, Pekka Salmi, Alexander Schwab, Marek Trella, Jun-Ichi Tsuboi, Arkadiusz Wołos, Zi-Jiang Yang",Reviews in Fisheries Science & Aquaculture,29,1,p58 - p95,2021,10.1080/23308249.2020.1782340,29-Jun-2020,https://doi.org/10.1080/23308249.2020.1782340,3851.0,99.0
Supporting collaborative biodesign ideation with contextualised knowledge from bioscience,"Yuning Chen, Elena Dieckmann, Céline Mougenot, Sander Välk",CoDesign,19,2,p142 - p161,2023,10.1080/15710882.2022.2138447,09-Dec-2022,https://doi.org/10.1080/15710882.2022.2138447,3553.0,0.0
ASPA 25th Congress Book of Abstract,"Angela Gabriella D'Alessandro, Aristide Maggiolino, Marcello Mele, Pasquale de Palo",Italian Journal of Animal Science,22,sup1,p1 - p320,2023,10.1080/1828051x.2023.2210877,12-Jun-2023,https://doi.org/10.1080/1828051x.2023.2210877,1770.0,5.0
Pothole detection in the woods: a deep learning approach for forest road surface monitoring with dashcams,"Rasmus Astrup, Stephan Hoffmann, Mostafa Hoseini, Stefano Puliti",International Journal of Forest Engineering,35,2,p303 - p312,2024,10.1080/14942119.2023.2290795,18-Dec-2023,https://doi.org/10.1080/14942119.2023.2290795,1592.0,5.0
Mismatched and misaligned: responsibility narratives in American research labs for synthetic biotechnologies,Maya Hey,Journal of Responsible Innovation,11,1,,2024,10.1080/23299460.2024.2355682,30-May-2024,https://doi.org/10.1080/23299460.2024.2355682,777.0,2.0
The global health pandemic and its impact on the motivation of employees in micro and small enterprises: a case study in the Slovak Republic,"Zdeněk Caha, Miloš Hitka, Silvia Lorincová, Mariana Sedliačiková, Peter Štarchoň",Economic Research-Ekonomska Istraživanja,35,1,p458 - p479,2022,10.1080/1331677x.2021.1902365,30-Mar-2021,https://doi.org/10.1080/1331677x.2021.1902365,19049.0,22.0
Recent advances in antibacterial nanoformulations for endodontic applications,"João Botelho, Pedro Brandão, Tiago Dionísio, Pedro Fonte, Vanessa Machado, José João Mendes",Expert Opinion on Drug Delivery,,,p1 - p20,5187,10.1080/17425247.2025.2511963,30-May-2025,https://doi.org/10.1080/17425247.2025.2511963,27.0,0.0
Depth-to-water maps as predictors of rut severity in fully mechanized harvesting operations,"C Antón Fernández, R Astrup, J B Heppelmann, B Talbot",International Journal of Forest Engineering,33,2,p108 - p118,2022,10.1080/14942119.2022.2044724,14-Mar-2022,https://doi.org/10.1080/14942119.2022.2044724,1153.0,4.0
"Cultured Microalgae and Compounds Derived Thereof for Food Applications: Strain Selection and Cultivation, Drying, and Processing Strategies",Tomás Lafarga,Food Reviews International,36,6,p559 - p583,2020,10.1080/87559129.2019.1655572,19-Aug-2019,https://doi.org/10.1080/87559129.2019.1655572,1296.0,63.0
Twenty-three unsolved problems in hydrology (UPH) - a community perspective,"Hafzullah Aksoy, Scott T Allen, Anam Amin, Vazken Andréassian, Berit Arheimer, Santosh K Aryal, Victor Baker, Earl Bardsley, Marlies H Barendrecht, Alena Bartosova, Okke Batelaan, Wouter R Berghuijs, Keith Beven, Marc F P Bierkens, Theresa Blume, Günter Blöschl, Thom Bogaard, Pablo Borges de Amorim, Gilles Boulet, Korbinian Breinl, Mitja Brilly, Luca Brocca, Wouter Buytaert, Michael E Böttcher, Gemma Carr, Attilio Castellarin, Andrea Castelletti, Antonio Chambel, Xiaohong Chen, Yangbo Chen, Yuanfang Chen, Peter Chifflard, Pierluigi Claps, Martyn P Clark, Adrian L Collins, Barry Croke, Christophe Cudennec, Annette Dathe, Paula C David, Georgia Destouni, Giuliano Di Baldassarre, Jessica M Driscoll, Doris Duethmann, Ravindra Dwivedi, Ebru Eris, William H Farmer, James Feiccabrino, Grant Ferguson, Ennio Ferrari, Stefano Ferraris, Benjamin Fersch, David Finger, Aldo Fiori, Laura Foglia, Keirnan Fowler, Boris Gartsman, Simon Gascoin, Eric Gaume, Alexander Gelfan, Josie Geris, Shervan Gharari, Tom Gleeson, Miriam Glendell, Alena Gonzalez Bevacqua, María P González-Dugo, Salvatore Grimaldi, A B Gupta, Björn Guse, Dawei Han, David Hannah, Adrian Harpold, Stefan Haun, Kate Heal, Kay Helfricht, Mathew Herrnegger, Matthew Hipsey, Hana Hlaváčiková, Clara Hohmann, Ladislav Holko, Christopher Hopkinson, Markus Hrachowitz, Tissa H Illangasekare, Azhar Inam, Camyla Innocente, Erkan Istanbulluoglu, Ben Jarihani, Zahra Kalantari, Andis Kalvans, Sonu Khanal, Sina Khatami, Jens Kiesel, James W Kirchner, Mike Kirkby, Wouter Knoben, Krzysztof Kochanek, Silvia Kohnová, Alla Kolechkina, Stefan Krause, David Kreamer, Heidi Kreibich, Harald Kunstmann, Holger Lange, Margarida L R Liberato, Eric Lindquist, Timothy Link, Junguo Liu, Daniel Peter Loucks, Charles Luce, Claire Lupton, Gil Mahé, Olga Makarieva, Julien Malard, Josep Mas-Pla, Shamshagul Mashtayeva, Shreedhar Maskey, Maria Mavrova-Guirguinova, Maurizio Mazzoleni, Jeffrey J McDonnell, Sebastian Mernild, Bruce Dudley Misstear, Alberto Montanari, Hannes Müller-Thomy, Alireza Nabizadeh, Fernando Nardi, Christopher Neale, Nataliia Nesterova, Bakhram Nurtaev, Vincent O Odongo, Subhabrata Panda, Saket Pande, Zhonghe Pang, Georgia Papacharalampous, Charles Perrin, Laurent Pfister, Rafael Pimentel, María J Polo, David Post, Cristina Prieto Sierra, Maria-Helena Ramos, Maik Renner, José Eduardo Reynolds, Elena Ridolfi, Riccardo Rigon, Monica Riva, David E Robertson, Renzo Rosso, Tirthankar Roy, Josè Salinas, Gianfausto Salvadori, Mel Sandells, Hubert H G Savenije, Bettina Schaefli, Andreas Schumann, Anna Scolobig, Jan Seibert, Eric Servat, Mojtaba Shafiei, Ashish Sharma, Moussa Sidibe, Roy C Sidle, Murugesu Sivapalan, Thomas Skaugen, Hugh Smith, Sabine M Spiessl, Lina Stein, Ingelin Steinsland, Ulrich Strasser, Christine Stumpp, Bob Su, Jan Szolgay, Borbála Széles, João H M Sá, David Tarboton, Flavia Tauro, Guillaume Thirel, Fuqiang Tian, Rui Tong, Elena Toth, Kamshat Tussupova, Hristos Tyralis, Remko Uijlenhoet, Jean-Philippe Vidal, Alberto Viglione, Elena Volpi, Sergiy Vorogushyn, Przemyslaw Wachniew, Andrew J Wade, Philip Ward, Ida K Westerberg, Christopher White, Eric F Wood, Ross Woods, Zongxue Xu, Koray K Yilmaz, Yongqiang Zhang, Felipe P J de Barros, Gerrit de Rooij, Rens van Beek, Anne F van Loon, Ilja van Meerveld, Ronald van Nooijen, Pieter R van Oel, Ruud J van der Ent, Martine van der Ploeg, Jana von Freyberg",Hydrological Sciences Journal,64,10,p1141 - p1158,2019,10.1080/02626667.2019.1620507,02-Jul-2019,https://doi.org/10.1080/02626667.2019.1620507,93625.0,617.0
"Managing budgetary uncertainty, interpreting policy. How researchers integrate ""grand challenges"" funding programs into their research agendas",Wolfgang Kaltenbrunner,Journal of Responsible Innovation,7,3,p320 - p341,2020,10.1080/23299460.2020.1744401,03-Apr-2020,https://doi.org/10.1080/23299460.2020.1744401,2837.0,22.0
Meet the neighbor: framing the European Union and African Union perspectives on the Farm to Fork goals,"Mario Amato, Jeroen J L Candel, Rossella Palmieri, Fabio Verneau",Agroecology and Sustainable Food Systems,,,p1 - p25,5187,10.1080/21683565.2024.2442670,22-Dec-2024,https://doi.org/10.1080/21683565.2024.2442670,104.0,0.0
Nano bio-polymeric sintered capillary tubes for enhanced lead removal from water: a comparative study of performance and fluid dynamics,"Chinenye Adaobi Igwegbe, Kenechukwu Keluo Onyechi",Environmental Technology,,,p1 - p17,5187,10.1080/09593330.2025.2479710,27-Mar-2025,https://doi.org/10.1080/09593330.2025.2479710,112.0,0.0
"Who cares about carbon dioxide removal? Assessing actors, policy positions, and participation modes within European and United Nations public consultation processes","Livia Fritz, Lucilla Losi, Benjamin K Sovacool",Climate Policy,,,p1 - p16,5187,10.1080/14693062.2025.2485204,04-Apr-2025,https://doi.org/10.1080/14693062.2025.2485204,989.0,0.0
The 'Wellbeing Wardrobe' as a tool to promote just transitions in the fashion and textile industry,"Taylor Brydges, Mariangela Lavanga, Rhiannon Pugh, Monique Retamal, Samantha Sharpe",Contemporary Social Science,19,1-3,p223 - p243,2024,10.1080/21582041.2024.2341143,29-Apr-2024,https://doi.org/10.1080/21582041.2024.2341143,1917.0,5.0
Biofuel production from Macroalgae: present scenario and future scope,"Amit Kumar Bajhaiya, Poornachander Gugulothu, Rajesh Banu J, Dinesh Kumar M, Arulazhagan Pugazhendi, Godvin Sharmila V",Bioengineered,12,2,p9216 - p9238,2021,10.1080/21655979.2021.1996019,24-Nov-2021,https://doi.org/10.1080/21655979.2021.1996019,8078.0,78.0
Insect-based industrial symbiosis: Navigating deep-scaling barriers through holistic biomimicry,Cecilia Padula,The Design Journal,28,2,p300 - p309,2025,10.1080/14606925.2024.2423483,04-Nov-2024,https://doi.org/10.1080/14606925.2024.2423483,139.0,1.0
An optimization model minimizing costs of fertilizer application in Flemish horticulture,"Jan Leenknegt, Erik Mathijs, Erik Meers, Liesbet Vranken, Anke de Dobbelaere, Erika de Keyser",International Journal of Agricultural Sustainability,21,1,,2023,10.1080/14735903.2023.2184572,17-Mar-2023,https://doi.org/10.1080/14735903.2023.2184572,2766.0,3.0
Biotechnology and Biodefense Enterprise: An Industry Perspective on Defence Acquisition,"Donna Boston, Eric Du, Gene Olinger, Kenneth B Yeh","Global Security: Health, Science and Policy",7,1,p37 - p43,2022,10.1080/23779497.2022.2102527,27-Jul-2022,https://doi.org/10.1080/23779497.2022.2102527,2206.0,3.0
Impacts of service buyer management on contractor profitability and satisfaction - a Swedish case study,"Emanuel Erlandsson, Dag Fjeld",International Journal of Forest Engineering,28,3,p148 - p156,2017,10.1080/14942119.2017.1367235,24-Aug-2017,https://doi.org/10.1080/14942119.2017.1367235,494.0,5.0
"Effects of different levels of Hermetia illucens larvae meal on performance, egg quality, yolk fatty acid composition and oxidative status of laying hens","Jifa Chen, Changqing He, Xin Liu, Xu Liu, Yi Qi, Xiangyong Qu, Xingju Wang, Bing Xiao, Kailai Xie, Yaling Yao",Italian Journal of Animal Science,20,1,p256 - p266,2021,10.1080/1828051x.2021.1878946,09-Feb-2021,https://doi.org/10.1080/1828051x.2021.1878946,4340.0,22.0
"Violence and Illegal Deforestation: The Crimes of ""Environmental Militias"" in the Amazon Forest","Marcelo Fetz, Nataly Sousa Pinho, Luiz Enrique Vieira de Souza, Bruna Pastro Zagatto",Capitalism Nature Socialism,33,2,p5 - p25,2022,10.1080/10455752.2021.1980817,12-Nov-2021,https://doi.org/10.1080/10455752.2021.1980817,2461.0,14.0
Buckwheat: an underutilized crop with attractive sensory qualities and health benefits,"Karin Gerhardt, Martin Knicky, Karin Wendin, Galia Zamaratskaia",Critical Reviews in Food Science and Nutrition,64,33,p12303 - p12318,2024,10.1080/10408398.2023.2249112,28-Aug-2023,https://doi.org/10.1080/10408398.2023.2249112,6315.0,11.0
Abnormality as Accumulation Strategy: Orienting Embryos to Capital,Juliane Collard,Annals of the American Association of Geographers,111,1,p105 - p120,2021,10.1080/24694452.2020.1752138,01-Jun-2020,https://doi.org/10.1080/24694452.2020.1752138,377.0,3.0
A comprehensive review of postharvest quality and non-thermal preservation techniques for functional mushrooms,"Pramod P Aradwad, T V Arun Kumar, N Parvathy Nayana, C S Ramya, Pramod Kumar Sahoo, Anamika Thakur",Critical Reviews in Food Science and Nutrition,,,p1 - p13,5187,10.1080/10408398.2024.2448211,03-Jan-2025,https://doi.org/10.1080/10408398.2024.2448211,198.0,0.0
How the living shapes markets: accounting for the action of biological entities in market agencing,"Quentin Chance, Frédéric Goulet, Ronan le Velly",Journal of Cultural Economy,16,4,p529 - p543,2023,10.1080/17530350.2023.2199422,08-Jun-2023,https://doi.org/10.1080/17530350.2023.2199422,252.0,2.0
Unlocking the potential of shellfish biomass: refining protein extraction from Baltic blue mussels for sustainable food applications,"Indrek Adler, Jonne Kotta, Helen Orav Kotta, Rando Tuvikene",Cogent Food & Agriculture,10,1,,2024,10.1080/23311932.2024.2405880,22-Sep-2024,https://doi.org/10.1080/23311932.2024.2405880,562.0,1.0
Clusters and Industry 4.0 - do they fit together?,"Marta Götz, Barbara Jankowska",European Planning Studies,25,9,p1633 - p1653,2017,10.1080/09654313.2017.1327037,16-May-2017,https://doi.org/10.1080/09654313.2017.1327037,3177.0,139.0
"Environmental customer demands and (forest) governance: evaluating market relations, knowledge networks and positionalities",Moritz Albrecht,"Geografiska Annaler: Series B, Human Geography",100,1,p42 - p60,2018,10.1080/04353684.2017.1379032,22-Sep-2017,https://doi.org/10.1080/04353684.2017.1379032,142.0,3.0
Politics of public interest: Finnish forest capital's strategy in the Kaipola paper mill shutdown,"Ville Kellokumpu, Heikki Sirviö","Geografiska Annaler: Series B, Human Geography",104,4,p341 - p361,2022,10.1080/04353684.2021.2025412,17-Jan-2022,https://doi.org/10.1080/04353684.2021.2025412,1531.0,0.0
Robotic timber milling: accuracy assessment for construction applications and comparison to a CNC-machine,"Benjamin Kromoser, Marc Pantscharowitsch",Wood Material Science & Engineering,20,3,p580 - p596,2025,10.1080/17480272.2024.2366487,02-Jul-2024,https://doi.org/10.1080/17480272.2024.2366487,528.0,0.0
Fostering public awareness of scientific research in the microalgae industry through a comic book,"Maria J Chapela, Celina Costas, Paula Fajardo, Martiña Ferreira, Xulia Pisón, J M Vilariño",Applied Phycology,6,1,p1 - p17,2025,10.1080/26388081.2025.2475283,04-Apr-2025,https://doi.org/10.1080/26388081.2025.2475283,552.0,0.0
Biocultures: a critical approach to mundane biomedical governance,"Nadine Ehlers, Shiloh Krupar","Culture, Theory and Critique",61,4,p440 - p456,2020,10.1080/14735784.2020.1857810,04-Jan-2021,https://doi.org/10.1080/14735784.2020.1857810,555.0,8.0
News and Views,,Scandinavian Journal of Forest Research,33,7,p724 - p727,2018,10.1080/02827581.2018.1512188,15-Aug-2018,https://doi.org/10.1080/02827581.2018.1512188,90.0,3.0
Active pharmaceutical ingredient (API) chemicals: a critical review of current biotechnological approaches,"Mukesh Kumar Awasthi, Vasudha Bansal, Parameswaran Binod, Manoj Kumar, Vinod Kumar, Aravind Madhavan, Saurabh Saran, Raveendran Sindhu",Bioengineered,13,2,p4309 - p4327,2022,10.1080/21655979.2022.2031412,08-Feb-2022,https://doi.org/10.1080/21655979.2022.2031412,13450.0,44.0
Transesterification of vegetable oils into biodiesel by an immobilized lipase: a review,"Abolle Abollé, Kouassi Esaie Kouadio Appiah, Kouassi Konan Edmond, Yao Kouassi Benjamin, Akossi Moya Joëlle Carole",Biofuels,14,10,p1087 - p1101,2023,10.1080/17597269.2023.2203433,01-May-2023,https://doi.org/10.1080/17597269.2023.2203433,316.0,6.0
TAD 4:1 Issue PDF,,Technology|Architecture + Design,4,1,p1 - p126,2020,10.1080/24751448.2020.1748410,14-Apr-2020,https://doi.org/10.1080/24751448.2020.1748410,425.0,0.0
Plenary lectures,,European Journal of Phycology,59,sup1,s32 - s133,2024,10.1080/09670262.2024.2317018,02-Apr-2024,https://doi.org/10.1080/09670262.2024.2317018,131.0,0.0
"Crossing Oceans: Testimonial Theatre, Filipina Migrant Labor, Empathy, and Engagement","Caleb Johnston, Geraldine Pratt",GeoHumanities,3,2,p279 - p291,2017,10.1080/2373566x.2016.1278178,21-Feb-2017,https://doi.org/10.1080/2373566x.2016.1278178,2463.0,11.0
"A Care-Based Approach to Transformative Change: Ethically-Informed Practices, Relational Response-Ability & Emotional Awareness","Alex Franklin, Angela Moriggi, Dirk Roep, Katriina Soini","Ethics, Policy & Environment",23,3,p281 - p298,2020,10.1080/21550085.2020.1848186,22-Dec-2020,https://doi.org/10.1080/21550085.2020.1848186,10790.0,43.0
Data Hugging in European Biobank Networks,Aaro Tupasela,Science as Culture,30,4,p513 - p534,2021,10.1080/09505431.2021.1949274,07-Jul-2021,https://doi.org/10.1080/09505431.2021.1949274,1866.0,9.0
The coming community. The politics of alternative food networks in Southern Italy,"Adam Arvidsson, Alex Giordano, Vincenzo Luise",Journal of Marketing Management,34,7-8,p620 - p638,2018,10.1080/0267257x.2018.1480519,14-Jun-2018,https://doi.org/10.1080/0267257x.2018.1480519,580.0,10.0
Plantationocene: A Vegetal Geography,Maan Barua,Annals of the American Association of Geographers,113,1,p13 - p29,2023,10.1080/24694452.2022.2094326,25-Aug-2022,https://doi.org/10.1080/24694452.2022.2094326,9340.0,33.0
The Gene Editing Business: Rent Extraction in the Biotech Industry,"Erica Borg, Amedeo Policante",Review of Political Economy,,,p1 - p36,5187,10.1080/09538259.2024.2401480,24-Oct-2024,https://doi.org/10.1080/09538259.2024.2401480,1913.0,0.0
Land-use policy instruments for sustainable housing: insights from municipality planners in Finland,"Pia Bäcklund, Liina Häyrinen, Vesa Kanninen, Atte Koskivaara, Katja Lähtinen, Nicki Malm","Urban, Planning and Transport Research",12,1,,2024,10.1080/21650020.2024.2319714,21-Feb-2024,https://doi.org/10.1080/21650020.2024.2319714,866.0,0.0
Recoating performance of fresh and weathered wood surfaces through atmospheric dielectric barrier discharge plasma activation,"Janez Kovač, Matjaž Pavlič, Aleš Straže, Jure Žigon",Wood Material Science & Engineering,,,p1 - p16,5187,10.1080/17480272.2025.2470381,03-Mar-2025,https://doi.org/10.1080/17480272.2025.2470381,385.0,0.0
Database as an Experiment: Parataxonomy of Medicinal Plants as Intellectual Property in India,Moe Nakazora,"East Asian Science, Technology and Society: An International Journal",17,1,p50 - p70,2023,10.1080/18752160.2022.2075664,14-Jun-2022,https://doi.org/10.1080/18752160.2022.2075664,275.0,2.0
Multifunctionality of agriculture products: towards collaborative policy guidelines on sustainable agro-related fuel development,Thaddeus Manu,Biofuels,8,4,p445 - p457,2017,10.1080/17597269.2017.1278930,23-Jan-2017,https://doi.org/10.1080/17597269.2017.1278930,117.0,1.0
Institutional and policy frameworks shaping the wooden multi-storey construction markets: a comparative case study on Austria and Finland,"Alice Ludvig, Ritva Toivonen, Anne Toppinen, Heini Vihemäki, Gerhard Weiss",Wood Material Science & Engineering,14,5,p312 - p324,2019,10.1080/17480272.2019.1641741,15-Jul-2019,https://doi.org/10.1080/17480272.2019.1641741,1317.0,35.0
Key drivers and obstacles for performance among forest harvesting service contractors - a qualitative case study from Sweden,"Emanuel Erlandsson, Malin Johansson, Thomas Kronholm, Ola Lindroos",Scandinavian Journal of Forest Research,36,7-8,p598 - p613,2021,10.1080/02827581.2021.1981431,27-Sep-2021,https://doi.org/10.1080/02827581.2021.1981431,1745.0,6.0
Placelessness of urban design and industrial branding in small town planning,"Moritz Albrecht, Jarmo Kortelainen",Journal of Urban Design,26,4,p405 - p421,2021,10.1080/13574809.2021.1877536,27-Jan-2021,https://doi.org/10.1080/13574809.2021.1877536,5266.0,8.0
Bioactive and agroindustrial potential of Amazonian fruit species: a review,"Liceth Natalia Cuéllar Álvarez, Juliana María García-Chacón, M Lourdes González-Miret, Francisco J Heredia",Cogent Food & Agriculture,11,1,,2025,10.1080/23311932.2025.2451062,15-Jan-2025,https://doi.org/10.1080/23311932.2025.2451062,1293.0,0.0
